split_id,n_trees,accuracy,auc_roc,f1
0,1,0.728250,0.804331,0.749674
0,2,0.735111,0.812025,0.748607
0,3,0.736031,0.814522,0.749059
0,4,0.738506,0.816101,0.751562
0,5,0.737799,0.817098,0.749983
0,6,0.739567,0.818199,0.752720
0,7,0.740982,0.819140,0.752868
0,8,0.741760,0.820166,0.753061
0,9,0.742891,0.820675,0.754076
0,10,0.744943,0.821405,0.757106
0,11,0.745579,0.822439,0.758639
0,12,0.744306,0.823007,0.755164
0,13,0.745438,0.823935,0.756676
0,14,0.746357,0.824743,0.758616
0,15,0.746428,0.825385,0.758146
1,1,0.728957,0.803092,0.744840
1,2,0.734687,0.808837,0.750814
1,3,0.735111,0.810716,0.749112
1,4,0.734474,0.811588,0.745595
1,5,0.735748,0.813586,0.749093
1,6,0.736526,0.814247,0.749108
1,7,0.738152,0.815527,0.752275
1,8,0.738365,0.816642,0.753712
1,9,0.738789,0.816924,0.753816
1,10,0.738931,0.817792,0.754114
1,11,0.739001,0.818270,0.753507
1,12,0.740274,0.819021,0.754906
1,13,0.739567,0.819293,0.754370
1,14,0.742113,0.819774,0.754643
1,15,0.742326,0.820246,0.754928
2,1,0.734262,0.805188,0.748746
2,2,0.734757,0.811443,0.751194
2,3,0.736879,0.814491,0.750837
2,4,0.737445,0.815670,0.753715
2,5,0.738931,0.817585,0.753490
2,6,0.739213,0.818914,0.754184
2,7,0.740062,0.819925,0.754460
2,8,0.741972,0.820912,0.755954
2,9,0.744448,0.821772,0.758635
2,10,0.747489,0.823720,0.760306
2,11,0.747984,0.824580,0.760728
2,12,0.748479,0.825165,0.761118
2,13,0.749470,0.826151,0.761578
2,14,0.749682,0.826671,0.761860
2,15,0.749823,0.827369,0.762250
3,1,0.732706,0.800228,0.752343
3,2,0.735535,0.807235,0.748029
3,3,0.736667,0.809661,0.748157
3,4,0.736384,0.810720,0.748397
3,5,0.737021,0.811073,0.747830
3,6,0.737940,0.812749,0.748933
3,7,0.737587,0.813504,0.749223
3,8,0.738718,0.815089,0.750034
3,9,0.739001,0.815636,0.750911
3,10,0.740628,0.816956,0.752079
3,11,0.741335,0.817792,0.753189
3,12,0.740770,0.818673,0.752147
3,13,0.741972,0.819245,0.753713
3,14,0.743599,0.820374,0.754786
3,15,0.744518,0.821159,0.755946
4,1,0.728674,0.798528,0.752036
4,2,0.732777,0.803847,0.746579
4,3,0.733909,0.807822,0.748058
4,4,0.734333,0.808093,0.748460
4,5,0.734121,0.809485,0.745549
4,6,0.735748,0.810520,0.747158
4,7,0.736243,0.811974,0.748737
4,8,0.737445,0.813019,0.749697
4,9,0.739143,0.814395,0.752782
4,10,0.740770,0.815087,0.753249
4,11,0.741194,0.815983,0.753984
4,12,0.741406,0.816674,0.754235
4,13,0.742326,0.817219,0.754961
4,14,0.742891,0.817850,0.755532
4,15,0.743387,0.818301,0.755953
